OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length,lon,lat
115697,41851,NZB,Balmoral To Sacred Heart And Glendowie Colleges,418,School Bus,13508.58815860505,174.84996999947,-36.867089999222
115698,41852,NZB,Sacred Heart And Glendowie Colleges To Balmoral,418,School Bus,15483.172037118818,174.865250000457,-36.8595799993558
115699,41951,NZB,Newmarket To Sacred Heart And Glendowie Colleges,419,School Bus,10829.794301615862,174.84996999947,-36.867089999222
115700,41952,NZB,Sacred Heart And Glendowie Colleges To Newmarket,419,School Bus,12941.041432598608,174.865250000457,-36.8595799993558
115701,42051,GBT,Pakuranga To Buck Beach Int & Macleans College Via Farm Cove,420,School Bus,9474.435054770409,174.91062,-36.8832299992095
115702,42052,GBT,Farm Cove Intermediate To Pakuranga,420,School Bus,5363.8548170775175,174.890609999774,-36.8966399989777
115703,42151,GBT,Burswood To Farm Cove Intermediate,421,School Bus,10540.092143121426,174.88827999968,-36.8963399988372
115704,42152,GBT,Farm Cove Intermediate To Burswood,421,School Bus,9734.115400433857,174.890609999774,-36.8966399989777
115705,42353,GBT,Otara to Edgewater College,423,School Bus,11055.619375292372,174.901039999805,-36.9242899993057
115706,42354,GBT,Edgewater College to Otara,423,School Bus,11112.388883382553,174.894069999885,-36.9202899992812
115707,42451,GBT,Bucklands Beach To Bucklands Beach Intermediate,424,School Bus,6441.276003532141,174.900222478626,-36.8605437598134
115708,42452,GBT,Bucklands Beach Intermediate To Bucklands Beach,424,School Bus,4799.828750395184,174.900222478626,-36.8605437598134
115709,42551,GBT,Botany To Bucklands Beach Intermediate And Macleans College,425,School Bus,8097.630557284213,174.91062,-36.8832299992095
115710,42552,GBT,Bucklands Beach Intermediate And Macleans College To Botany,425,School Bus,7574.861109150942,174.910649999484,-36.8824599990394
115711,42651,GBT,Botany To Macleans College,426,School Bus,11633.066635992987,174.914099999674,-36.8823899993611
115712,42652,GBT,Macleans College To Botany,426,School Bus,11756.123889272283,174.914099999674,-36.8823899993611
115713,42751,GBT,Flat Bush To Bucklands Beach Intermediate And Macleans Colle,427,School Bus,12814.305114278864,174.91062,-36.8832299992095
115714,42752,GBT,Bucklands Beach Intermedia And Macleans College to Flat Bush,427,School Bus,12233.105941580508,174.910649999484,-36.8824599990394
115715,42851,GBT,Botany To Bucklands Beach Intermediate and Macleans College,428,School Bus,10299.078873457147,174.91062,-36.8832299992095
115716,42852,GBT,Bucklands Beach Intermediate and Macleans College To Botany,428,School Bus,9060.13391243208,174.913840000514,-36.8819099988975
115717,42952,GBT,Macleans College to Botany Town Centre,429,School Bus,8232.00327603509,174.913840000514,-36.8819099988975
115718,43051,GBT,Meadowlands To Owairoa Primary,430,School Bus,8820.141366009753,174.920770000412,-36.8976799987084
115719,43052,GBT,Owairoa Primary To Meadowlands,430,School Bus,8458.952719577997,174.925590000111,-36.898329999082
115720,43151,GBT,Botany To Howick College And Somerville Intermediate,431,School Bus,9184.641703062769,174.915320000081,-36.9036899994673
115721,43152,GBT,Somerville Intermediate And Howick College To Botany,431,School Bus,9204.349442267883,174.917679999611,-36.9022599994854
115722,43351,GBT,Redcastle Dr To Somerville Intermediate And Howick College,433,School Bus,7667.764929743661,174.9393500003,-36.9130599992122
